Title:,Time Series, Area-Averaged of Chlorophyll a concentration monthly 4 km [MODIS-Aqua MODISA_L3m_CHL v2018] ()
User Start Date:,2002-07-01T00:00:00Z,
User End Date:,2019-02-28T23:59:59Z,
User Bounding Box:,"-124.8816,47.3511,-124.4064,47.9965",
Data Bounding Box:,"-124.854,47.3542,-124.437,47.9792",
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-01T00:00:00Z&endtime=2019-02-28T23:59:59Z&bbox=-124.8816,47.3511,-124.4064,47.9965&data=MODISA_L3m_CHL_2018_chlor_a&portal=GIOVANNI&format=json",
Fill Value (mean_MODISA_L3m_CHL_2018_chlor_a): -32767,,
,,
time, mean_MODISA_L3m_CHL_2018_chlor_a,
7/4/02 0:40,10.2430496,
8/6/02 15:17,14.8361921,
9/1/02 0:45,8.77582264,
10/1/02 0:30,9.9715004,
11/1/02 0:20,4.91064882,
12/1/02 0:00,-32767,
1/1/03 0:50,1.75411284,
2/1/03 0:10,4.77490282,
3/1/03 0:35,2.41505122,
4/1/03 0:25,2.77587318,
5/1/03 0:35,9.22601318,
6/1/03 0:00,14.2842855,
7/1/03 0:10,12.2265625,
8/1/03 0:50,8.61830711,
9/1/03 0:20,9.20376205,
10/1/03 0:30,2.69062519,
11/1/03 0:00,2.16777396,
12/1/03 0:05,-32767,
1/1/04 0:20,0.495563507,
2/1/04 0:15,5.44313574,
3/1/04 0:45,2.75501895,
4/1/04 0:05,8.18909359,
5/1/04 0:45,2.3307929,
6/1/04 0:10,5.94390249,
7/1/04 0:20,8.88067532,
8/1/04 1:00,10.6442957,
9/1/04 0:30,8.67532825,
10/1/04 0:10,5.69408083,
11/1/04 0:05,4.01177931,
12/1/04 0:15,-32767,
1/1/05 0:35,1.43686736,
2/1/05 0:25,4.09433937,
3/1/05 0:15,2.61293387,
4/1/05 0:10,2.48559046,
5/1/05 0:20,2.41322803,
6/1/05 1:00,3.21123958,
7/1/05 0:00,10.2035055,
8/1/05 0:35,8.95343971,
9/1/05 0:00,6.03058863,
10/1/05 0:10,5.31353474,
11/1/05 0:35,1.42242146,
12/1/05 0:45,-32767,
1/1/06 0:00,3.5827167,
2/1/06 0:00,2.61596465,
3/1/06 0:20,2.06897664,
4/1/06 0:40,3.99371386,
5/1/06 0:00,9.99368763,
6/1/06 0:40,7.02945089,
7/1/06 0:50,9.77046394,
8/1/06 0:15,11.5334244,
9/1/06 0:40,11.0795422,
10/1/06 0:00,13.4663925,
11/1/06 0:05,1.94384205,
12/1/06 0:15,-32767,
1/1/07 0:10,2.7462728,
2/1/07 0:30,2.24743366,
3/1/07 0:00,5.84631824,
4/1/07 0:15,4.24848604,
5/1/07 0:50,10.3831081,
6/1/07 0:15,11.3796825,
7/1/07 0:25,12.0118341,
8/1/07 0:00,6.83556557,
9/1/07 0:35,7.17605591,
10/1/07 0:15,6.5402112,
11/1/07 0:10,2.55548048,
12/1/07 0:20,-32767,
1/1/08 0:40,3.45602083,
2/1/08 0:00,3.1986413,
3/1/08 0:05,3.21329188,
4/1/08 0:25,4.29447412,
5/1/08 1:00,11.8038559,
6/1/08 0:25,3.50370669,
7/1/08 0:35,8.11301041,
8/1/08 0:00,9.70480061,
9/1/08 0:45,9.99742222,
10/1/08 0:30,12.7318525,
11/1/08 0:25,1.93972063,
12/1/08 0:00,-32767,
1/1/09 0:00,3.65487313,
2/1/09 0:15,2.92333603,
3/1/09 0:40,3.2387898,
4/1/09 0:00,5.28308678,
5/1/09 0:40,9.30179691,
6/1/09 0:05,7.5314312,
7/1/09 0:15,9.10544777,
8/1/09 1:00,11.6331329,
9/1/09 0:25,8.30576611,
10/1/09 0:00,10.7998571,
11/1/09 0:00,16.9737206,
12/1/09 0:10,6.3285532,
1/1/10 0:25,1.19443989,
2/1/10 0:20,4.21721649,
3/1/10 0:10,3.62325287,
4/1/10 0:00,2.84079194,
5/1/10 0:15,7.4498558,
6/1/10 0:55,3.28238583,
7/1/10 1:05,7.00584888,
8/1/10 0:30,7.72120762,
9/1/10 0:00,10.433629,
10/1/10 0:05,7.94328117,
11/1/10 0:25,2.18828869,
12/1/10 0:35,-32767,
1/1/11 0:25,-32767,
2/1/11 0:50,2.86350465,
3/1/11 0:10,1.98368633,
4/1/11 0:30,5.53438807,
5/1/11 1:00,1.83934438,
6/1/11 0:30,2.48355174,
7/1/11 0:40,6.06964588,
8/1/11 0:05,7.32599163,
9/1/11 0:50,9.92863178,
10/1/11 0:35,4.15401077,
11/1/11 0:25,5.042871,
12/1/11 0:05,-32767,
1/1/12 0:00,3.49902987,
2/1/12 0:15,2.70555639,
3/1/12 0:20,2.6246624,
4/1/12 0:45,4.12062073,
5/1/12 0:00,12.5395088,
6/1/12 0:40,1.11667085,
7/1/12 0:50,5.11517906,
8/1/12 0:15,7.84381819,
9/1/12 0:40,3.89121032,
10/1/12 0:00,2.36167288,
11/1/12 0:05,2.09222698,
12/1/12 0:15,-32767,
1/1/13 0:10,2.38953686,
2/1/13 0:30,5.1089344,
3/1/13 0:00,3.86096644,
4/1/13 0:15,8.89725685,
5/1/13 0:50,18.128952,
6/1/13 0:15,3.21856904,
7/1/13 0:25,24.2143879,
8/1/13 0:00,3.88458991,
9/1/13 0:35,2.13115382,
10/1/13 0:20,6.23811579,
11/1/13 0:10,8.17275715,
12/1/13 0:20,-32767,
1/1/14 0:45,2.61629748,
2/1/14 0:00,3.40567136,
3/1/14 0:25,4.91034555,
4/1/14 0:15,5.57001066,
5/1/14 0:25,3.95729637,
6/1/14 0:00,18.0350246,
7/1/14 0:00,7.75787258,
8/1/14 0:45,13.5569448,
9/1/14 0:10,5.19088173,
10/1/14 0:20,2.65094209,
11/1/14 0:45,1.98595989,
12/1/14 0:00,7.51758146,
1/1/15 0:10,4.11319351,
2/1/15 0:05,4.62792253,
3/1/15 0:25,10.2308369,
4/1/15 0:00,4.3965292,
5/1/15 0:00,12.9623785,
6/1/15 0:45,15.1709671,
7/1/15 0:55,7.26592207,
8/1/15 0:20,5.9102788,
9/1/15 0:45,1.36701047,
10/1/15 0:00,3.29694891,
11/1/15 0:10,3.80265594,
12/1/15 0:25,-32767,
1/1/16 0:15,1.75647855,
2/1/16 0:35,1.94250548,
3/1/16 0:05,7.42059565,
4/1/16 0:00,7.7859149,
5/1/16 0:10,13.6220083,
6/1/16 0:55,5.52121019,
7/1/16 1:00,6.57409191,
8/1/16 0:30,9.64443493,
9/1/16 0:00,3.21297598,
10/1/16 0:05,1.81623363,
11/1/16 0:25,1.43275619,
12/1/16 0:35,-32767,
1/1/17 0:25,3.16575122,
2/1/17 0:50,2.21905279,
3/1/17 0:10,2.86045289,
4/1/17 0:30,5.17067432,
5/1/17 1:00,4.31831741,
6/1/17 0:30,5.39223242,
7/1/17 0:40,12.9708824,
8/1/17 0:05,12.7602606,
9/1/17 0:25,4.79592752,
10/1/17 0:35,5.70175934,
11/1/17 0:25,10.501687,
12/1/17 0:05,-32767,
1/1/18 0:00,1.89449477,
2/1/18 0:20,4.76068687,
3/1/18 0:45,4.40831995,
4/1/18 0:00,2.95027089,
5/1/18 0:40,7.77046251,
6/1/18 0:05,9.25658226,
7/1/18 0:15,12.4426832,
8/1/18 1:00,3.54712152,
9/1/18 0:25,4.69183302,
10/1/18 0:05,4.30961084,
11/1/18 0:00,7.53054142,
12/1/18 0:10,2.08703423,
1/1/19 0:30,3.92861152,
2/1/19 0:20,3.28987932,
