"","Year","Island","Site","Viable","Occupied","Egg","Hatch","LastCheck","sst.sep","sst.oct","sst.nov","sst.dec","sst.jan","sst.feb","sst.mar","sst.april","sst.may","sst.june","sst.july","sst.aug","sst.spring","sst.summer","sst.lag1","sst.lag2","mei.sep","mei.oct","mei.nov","mei.dec","mei.jan","mei.feb","mei.mar","mei.april","mei.may","mei.june","mei.july","mei.aug","mei.avg","st.onset","st.length","cu.sep","cu.oct","cu.nov","cu.dec","cu.jan","cu.feb","cu.mar","cu.april","cu.may","cu.june","cu.july","cu.aug","cu.spring","cu.summer","cua.sep","cua.oct","cua.nov","cua.dec","cua.jan","cua.feb","cua.mar","cua.april","cua.may","cua.june","cua.july","cua.aug","cua.spring","cua.summer","pdo.sep","pdo.oct","pdo.nov","pdo.dec","pdo.jan","pdo.feb","pdo.mar","pdo.april","pdo.may","pdo.june","pdo.july","pdo.aug","pdo.index"
"1",2010,"DI","Boathouse",22,15,15,13,10,13.1047334,12.4227238,9.85499954,8.69966507,8.48936367,9.65208054,9.3199358,11.0228138,11.2212753,13.4723053,14.1605482,13.7115717,10.52134163,13.78147507,11.79415225,8.947036427,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"2",2010,"DI","Catwalk.Salmon",13,7,5,5,4,13.1047334,12.4227238,9.85499954,8.69966507,8.48936367,9.65208054,9.3199358,11.0228138,11.2212753,13.4723053,14.1605482,13.7115717,10.52134163,13.78147507,11.79415225,8.947036427,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"3",2010,"DI","Catwalk.Willow",13,8,8,8,8,13.1047334,12.4227238,9.85499954,8.69966507,8.48936367,9.65208054,9.3199358,11.0228138,11.2212753,13.4723053,14.1605482,13.7115717,10.52134163,13.78147507,11.79415225,8.947036427,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"4",2010,"DI","Salmon.Sequel",11,7,7,5,3,13.1047334,12.4227238,9.85499954,8.69966507,8.48936367,9.65208054,9.3199358,11.0228138,11.2212753,13.4723053,14.1605482,13.7115717,10.52134163,13.78147507,11.79415225,8.947036427,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"5",2010,"DI","SW.Point",14,10,8,8,7,13.1047334,12.4227238,9.85499954,8.69966507,8.48936367,9.65208054,9.3199358,11.0228138,11.2212753,13.4723053,14.1605482,13.7115717,10.52134163,13.78147507,11.79415225,8.947036427,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"6",2010,"DI","Willow.Gully",11,10,10,10,10,13.1047334,12.4227238,9.85499954,8.69966507,8.48936367,9.65208054,9.3199358,11.0228138,11.2212753,13.4723053,14.1605482,13.7115717,10.52134163,13.78147507,11.79415225,8.947036427,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"7",2010,"PI","s741",11,5,5,5,4,14.146719,10.125,9.24834728,7.72490644,7.13714647,8.09166622,8.68005562,8.74333286,10.6683331,10.4633331,12.8924999,11.8649998,9.363907193,11.7402776,11.17335543,7.65123971,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"8",2010,"PI","s742",11,9,9,8,7,14.146719,10.125,9.24834728,7.72490644,7.13714647,8.09166622,8.68005562,8.74333286,10.6683331,10.4633331,12.8924999,11.8649998,9.363907193,11.7402776,11.17335543,7.65123971,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"9",2010,"PI","s743",10,8,8,8,7,14.146719,10.125,9.24834728,7.72490644,7.13714647,8.09166622,8.68005562,8.74333286,10.6683331,10.4633331,12.8924999,11.8649998,9.363907193,11.7402776,11.17335543,7.65123971,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
"10",2010,"PI","s744",11,7,7,5,4,14.146719,10.125,9.24834728,7.72490644,7.13714647,8.09166622,8.68005562,8.74333286,10.6683331,10.4633331,12.8924999,11.8649998,9.363907193,11.7402776,11.17335543,7.65123971,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
